"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"AFMC: An alignment framework for multiple computing services and providers.","2023","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Leonardo Rebouças de Carvalho;Alba Cristina Magalhaes Alves de Melo;Aletéia P. F. Araújo","1532-0634","A4"
"Mundo Bit Byte - A digital mobile game to disseminate female personalities that made history in Computing.","2022","Journal on Interactive Systems (JIS)","J. Interact. Syst.","Aletéia P. F. Araújo;Ana Júlia Luziano Briceño;Ana Sofia S. Silvestre;Bianca P. Castro;Carla Denise Castanho;Carla Koike;Fernanda S. Marcilio;Hanani E. F. Soares;Maristela Holanda;Mauricio Miranda Sarmet;Roberta B. Oliveira;Tais A. Oliveira;Thamires P. Silva","2236-3297","B4"
"Optimized Solutions for Deploying a Militarized 4G/LTE Network With Maximum Coverage and Minimum Interference.","2022","IEEE Transactions on Network and Service Management","IEEE Trans. Netw. Serv. Manag.","Emerson de O. Antunes;Marcos F. Caetano;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Lucas Bondan;Rodolfo I. Meneguette;Geraldo P. Rocha Filho","1932-4537","A1"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Computational Resource Allocation in Fog Computing: A Comprehensive Survey.","2023","ACM Computing Surveys","ACM Comput. Surv.","João Bachiega Jr.;Breno G. S. Costa;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","0360-0300","A1"
"Monitoring fog computing: A review, taxonomy and open challenges.","2022","Computer Networks","Comput. Networks","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","1389-1286","A2"
"Monitoring Fog Computing: a Review, Taxonomy and Open Challenges.","2022","Computing Research Repository (CoRR)","CoRR","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","N/A","N/A"
"Computational resource and cost prediction service for scientific workflows in federated clouds.","2021","Future Generation Computer Systems","Future Gener. Comput. Syst.","Michel J. F. Rosa;Célia Ghedini Ralha;Maristela Holanda;Aletéia P. F. Araújo","0167-739X","A1"
"The Brazilian School Girls' Perspectives on a Computer Science Major.","2020","CLEI electronic journal","CLEI Electron. J.","Maristela Holanda;Roberto Nunes Mourão;Guilherme Novaes Ramos;Aletéia P. F. Araújo;Maria Emília M. T. Walter;Vinicius Borges;George von Borries","0717-5000","C"
"Main FaaS Providers Behavior Under High Concurrency: An Evaluation with Orama Framework Distributed Architecture.","2024","SN Computer Science","SN Comput. Sci.","Leonardo Rebouças de Carvalho;Bruno Kamienski;Aletéia P. F. Araújo","2376-5992","A2"
