"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"Optimizing computational costs of Spark for SARS-CoV-2 sequences comparisons on a commercial cloud.","2023","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Alan L. Nunes;Alba C. M. A. Melo;Claude Tadonki;Cristina Boeres;Daniel de Oliveira 0001;Lúcia Maria de Assumpção Drummond","1096-9128","A3"
"Parallel Fine-Grained Comparison of Long DNA Sequences in Homogeneous and Heterogeneous GPU Platforms With Pruning.","2021","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Marco Antonio C. de Figueiredo;João Paulo Navarro;Edans Flavius de Oliveira Sandes;George Teodoro;Alba C. M. A. Melo","1558-2183","A1"
"MASA-OpenCL: Parallel pruned comparison of long DNA sequences with OpenCL.","2019","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Marco Antonio C. de Figueiredo;Edans Flavius de Oliveira Sandes;Genaína Nunes Rodrigues;George Luiz Medeiros Teodoro;Alba Cristina Magalhaes Alves de Melo","1096-9128","A3"
"AFMC: An alignment framework for multiple computing services and providers.","2023","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Leonardo Rebouças de Carvalho;Alba Cristina Magalhaes Alves de Melo;Aletéia P. F. Araújo","1096-9128","A3"
"Bitmap filter: Speeding up exact set similarity joins with bitwise operations.","2020","Information Systems","Inf. Syst.","Edans F. de O. Sandes;George Luiz Medeiros Teodoro;Alba C. M. A. Melo","0306-4379","A2"
"Using Multiple Fickett Bands to Accelerate Biological Sequence Comparisons.","2019","Journal of Computational Biology (JCB)","J. Comput. Biol.","Gabriel H. G. Silva;Edans F. de O. Sandes;George Teodoro;Alba C. M. A. Melo","1557-8666","A2"
"DNA sequences alignment in multi-GPUs: acceleration and energy payoff.","2018","BMC Bioinformatics","BMC Bioinform.","Jesús Pérez Serrano;Edans F. de O. Sandes;Alba Cristina Magalhaes Alves de Melo;Manuel Ujaldón","1471-2105","A1"
"Formalization of Block Pruning: Reducing the Number of Cells Computed in Exact Biological Sequence Comparison Algorithms.","2018","The Computer Journal","Comput. J.","Edans Flavius de Oliveira Sandes;George Luiz Medeiros Teodoro;Maria Emília M. T. Walter;Xavier Martorell;Eduard Ayguadé;Alba Cristina Magalhaes Alves de Melo","N/A","N/A"
"Bitmap Filter: Speeding up Exact Set Similarity Joins with Bitwise Operations.","2017","Computing Research Repository (CoRR)","CoRR","Edans F. de O. Sandes;George Teodoro;Alba C. M. A. Melo","N/A","N/A"
"Parallel Optimal Pairwise Biological Sequence Comparison: Algorithms, Platforms, and Classification.","2016","ACM Computing Surveys","ACM Comput. Surv.","Edans Flavius de Oliveira Sandes;Azzedine Boukerche;Alba Cristina Magalhaes Alves de Melo","0360-0300","A1"
"MASA: A Multiplatform Architecture for Sequence Aligners with Block Pruning.","2016","ACM Transactions on Parallel Computing","ACM Trans. Parallel Comput.","Edans Flavius de Oliveira Sandes;Guillermo Miranda;Xavier Martorell;Eduard Ayguadé;George Teodoro;Alba Cristina Magalhaes Alves de Melo","2329-4949","A4"
"CUDAlign 4.0: Incremental Speculative Traceback for Exact Chromosome-Wide Alignment in GPU Clusters.","2016","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Edans Flavius de Oliveira Sandes;Guillermo Miranda;Xavier Martorell;Eduard Ayguadé;George Teodoro;Alba Cristina Magalhaes Alves de Melo","1558-2183","A1"
"An agent-based solution for dynamic multi-node wavefront balancing in biological sequence comparison.","2014","Expert Systems with Applications","Expert Syst. Appl.","Edans Flavius de Oliveira Sandes;Célia Ghedini Ralha;Alba Cristina Magalhaes Alves de Melo","0957-4174","A1"
"Querying dynamic communities in online social networks.","2014","Frontiers of Information Technology &#38; Electronic Engineering","J. Zhejiang Univ. Sci. C","Li Weigang 0001;Edans F. de O. Sandes;Jianya Zheng;Alba Cristina Magalhaes Alves de Melo;Lorna Uden","2095-9230","A4"
"Retrieving Smith-Waterman Alignments with Optimizations for Megabase Biological Sequences Using GPU.","2013","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Edans Flavius de Oliveira Sandes;Alba Cristina Magalhaes Alves de Melo","1558-2183","A1"
