Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Optimizing computational costs of Spark for SARS-CoV-2 sequences comparisons on a commercial cloud.","2023","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Alan L. Nunes;Alba C. M. A. Melo;Claude Tadonki;Cristina Boeres;Daniel de Oliveira 0001;Lúcia Maria de Assumpção Drummond","1096-9128","A3"
"Comparing SARS-CoV-2 Sequences using a Commercial Cloud with a Spot Instance Based Dynamic Scheduler.","2021","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)","CCGRID","Conference","Luan Teylo;Alan L. Nunes;Alba C. M. A. Melo;Cristina Boeres;Lúcia Maria de A. Drummond;Natália Florencio Martins","-","A2"
"A Pipeline to Characterize Virulence Factors in Mycobacterium Massiliense Genome.","2013","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Guilherme Menegói;Tainá Raiol;João Victor de Araújo Oliveira;Edans Flavius de Oliveira Sandes;Alba Cristina Magalhaes Alves de Melo;Andrea Queiroz Maranhão;Ildinete Silva-Pereira;Anamélia Lorenzetti Bocca;Ana Paula Junqueira-Kipnis;Maria Emília M. T. Walter;André Kipnis;Marcelo de Macedo Brígido","-","B1"
"Parallel Fine-Grained Comparison of Long DNA Sequences in Homogeneous and Heterogeneous GPU Platforms With Pruning.","2021","IEEE Transactions on Parallel and Distributed Systems (TPDS)","IEEE Trans. Parallel Distributed Syst.","Journal","Marco Antonio C. de Figueiredo;João Paulo Navarro;Edans Flavius de Oliveira Sandes;George Teodoro;Alba C. M. A. Melo","1558-2183","A1"
"A Fault Tolerant and Deadline Constrained Sequence Alignment Application on Cloud-Based Spot GPU Instances.","2021","European Conference on Parallel Processing (Euro-Par)","Euro-Par","Conference","Rafaela C. Brum;Walisson P. Sousa;Alba C. M. A. Melo;Cristiana Bentes;Maria Clicia Stelling de Castro;Lúcia Maria de A. Drummond","-","N/A"
"CellHeap: A Workflow for Optimizing COVID-19 Single-Cell RNA-Seq Data Processing in the Santos Dumont Supercomputer.","2021","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Vanessa S. Silva;Maiana O. C. Costa;Maria Clicia Stelling de Castro;Helena S. Silva;Maria Emília M. T. Walter;Alba C. M. A. Melo;Kary A. C. Ocaña;Marcelo T. dos Santos;Marisa F. Nicolas;Anna Cristina C. Carvalho;Andrea Henriques-Pons;Fabrício Alves Barbosa da Silva","-","B1"
"Parallel Comparison of Huge DNA Sequences in Multiple GPUs with Block Pruning.","2020","International Euromicro Conference on Parallel, Distributed and Network-Based Processing (PDP)","PDP","Conference","Marco Antonio C. de Figueiredo;Edans Flavius de Oliveira Sandes;George Teodoro;Alba C. M. A. Melo","-","A4"
"MASA-OpenCL: Parallel pruned comparison of long DNA sequences with OpenCL.","2019","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Marco Antonio C. de Figueiredo;Edans Flavius de Oliveira Sandes;Genaína Nunes Rodrigues;George Luiz Medeiros Teodoro;Alba Cristina Magalhaes Alves de Melo","1096-9128","A3"
"Parallel Megabase DNA Sequence Comparison with OpenCL.","2015","International Conference on High Performance Computing, Data, and Analytics (HiPC)","HiPC","Conference","Marco Antonio C. de Figueiredo;Edans F. de O. Sandes;Alba Cristina Magalhaes Alves de Melo","-","A3"
"A Framework for Automated Parallel Execution of Scientific Multi-workflow Applications in the Cloud with Work Stealing.","2024","European Conference on Parallel Processing (Euro-Par)","Euro-Par","Conference","Helena S. Silva;Maria Clicia Stelling de Castro;Fabrício A. B. da Silva;Alba C. M. A. Melo","-","N/A"
