Nome, Citacoes, HIndex
Alba Cristina Magalhaes Alves de Melo, 1664, 20
Aletéia Araújo, 1027, 15
André Costa Drummond, 1175, 14
B. macchiavello, 765, 16
Celia Ghedini Ralha, 1482, 19
Cláudia Nalon, 261, 9
Dibio L Borges, 1097, 18
Edna Dias Canedo, 2673, 28
Eduardo Alchieri, 1764, 15
Eduardo Peixoto, 696, 13
Flavio de Barros Vidal, 889, 16
Genaína Nunes Rodrigues, 1296, 22
George Teodoro, 2327, 57
Geraldo P. Rocha Filho, 1778, 23
Jacir Luiz Bordim, 920, 17
Li Weigang, 1781, 22
Luís Paulo Faina Garcia, 1541, 17
Marcelo Marotta, 737, 11
Maria Emilia Walter, 2003, 19
Maristela Holanda, 1852, 18
Mauricio Ayala Rincon, 1785, 22
Mylene Farias, 2886, 28
Pedro Garcia Freitas, 744, 17
Priscila Solis, 293, 9
Ricardo Jacobi, 1076, 15
Teofilo Emidio de Campos, 3383, 25
Thiago Paulo Faleiros, 197, 9
Vander Alves, 2362, 25
Vinícius R. P. Borges, 603, 8
Ricardo de Queiroz, 8191, 47
Rodrigo Bonifacio, 1589, 22
